Unnamed: 0,name,statement,difficulty,topics,tests_input_output,normalized_input,expected_output,python_stub,cpp_stub,java_stub,hidden_py_header,hidden_py_footer,hidden_cpp_header,hidden_cpp_footer,hidden_java_header,hidden_java_footer
66,Pascal's Triangle II,"Given an integer rowIndex, return the rowIndex-th ( 0-indexed ) row of the Pascal's triangle.
In Pascal's triangle, each number is the sum of the two numbers directly above it as shown:
Example 1:
Input: rowIndex = 3
Output: [1,3,3,1]
Example 2:
Input: rowIndex = 0
Output: [1]
Example 3:
Input: rowIndex = 1
Output: [1,1]
Constraints:
0 <= rowIndex <= 33
Follow up: Could you optimize your algorithm to use only O(rowIndex) extra space?",Easy,"Array, Dynamic Programming","Test Case 1:
Input: rowIndex = 3
Output: [1,3,3,1]

Test Case 2:
Input: rowIndex = 0
Output: [1]

Test Case 3:
Input: rowIndex = 1
Output: [1,1]","3

0

1","[1,3,3,1]
[1]
[1,1]","class Solution:
    def getRow(self, rowIndex: int) -> List[int]:
        ","class Solution {
public:
    vector<int> getRow(int rowIndex) {
        
    }
};","class Solution {
    public List<Integer> getRow(int rowIndex) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    rowIndex = int(data[line_idx])
    line_idx += 1

    sol = Solution()
    ans = sol.getRow(rowIndex)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int rowIndex;
    if (!(cin >> rowIndex)) return 0;

    Solution sol;
    vector<int> ans = sol.getRow(rowIndex);
    cout << '[';
    for (size_t i = 0; i < ans.size(); ++i) {
        cout << ans[i] << (i + 1 == ans.size() ? ']' : ',');
    }
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int rowIndex = Integer.parseInt(br.readLine());

        Solution sol = new Solution();
        int[] ans = sol.getRow(rowIndex);
        System.out.print(""["");
        for (int i = 0; i < ans.length; i++) {
            System.out.print(ans[i] + (i == ans.length - 1 ? ""]"" : "",""));
        }
        System.out.println();
    }
}"
67,Triangle,"Given a triangle array, return the minimum path sum from top to bottom.
For each step, you may move to an adjacent number of the row below. More formally, if you are on index i on the current row, you may move to either index i or index i + 1 on the next row.
Example 1:
Input: triangle = [[2],[3,4],[6,5,7],[4,1,8,3]]
Output: 11
Explanation: The triangle looks like:
   '2'
  '3' 4
  6 '5' 7
 4 '1' 8 3
The minimum path sum from top to bottom is 2 + 3 + 5 + 1 = 11.
Example 2:
Input: triangle = [[-10]]
Output: -10
Constraints:
1 <= triangle.length <= 200
triangle[0].length == 1
triangle[i].length == triangle[i - 1].length + 1
-10^4 <= triangle[i][j] <= 10^4
Follow up: Could you do this using only O(n) extra space, where n is the total number of rows in the triangle?",Medium,"Array, Dynamic Programming","Test Case 1:
Input: triangle = [[2],[3,4],[6,5,7],[4,1,8,3]]
Output: 11
Explanation: The triangle looks like:
   2
  3 4
 6 5 7
4 1 8 3
The minimum path sum from top to bottom is 2 + 3 + 5 + 1 = 11 (underlined above).

Test Case 2:
Input: triangle = [[-10]]
Output: -10","4 1
2
3 4
6 5 7
4 1 8 3

1 1
-10","11
-10","class Solution:
    def minimumTotal(self, triangle: List[List[int]]) -> int:
        ","class Solution {
public:
    int minimumTotal(vector<vector<int>>& triangle) {
        
    }
};","class Solution {
    public int minimumTotal(List<List<Integer>> triangle) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_triangle = int(data[line_idx])
    line_idx += 1
    triangle = list(map(int, data[line_idx].split()))
    line_idx += 1

    sol = Solution()
    ans = sol.minimumTotal(triangle)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int m_triangle, n_triangle;
    if (!(cin >> m_triangle >> n_triangle)) return 0;
    vector<vector<int>> triangle(m_triangle, vector<int>(n_triangle));
    for (int i = 0; i < m_triangle; ++i) {
        for (int j = 0; j < n_triangle; ++j) {
            cin >> triangle[i][j];
        }
    }

    Solution sol;
    auto ans = sol.minimumTotal(triangle);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_triangle = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] triangle = new int[n_triangle];
        for (int i = 0; i < n_triangle; i++) {
            triangle[i] = Integer.parseInt(st.nextToken());
        }

        Solution sol = new Solution();
        var ans = sol.minimumTotal(triangle);
        System.out.print(ans);
        System.out.println();
    }
}"
68,Best Time to Buy and Sell Stock,"You are given an array prices where prices[i] is the price of a given stock on the i th day.
You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock.
Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0.
Example 1:
Input: prices = [7,1,5,3,6,4]
Output: 5
Explanation: Buy on day 2 (price = 1) and sell on day 5 (price = 6), profit = 6-1 = 5. Note that buying on day 2 and selling on day 1 is not allowed because you must buy before you sell.
Example 2:
Input: prices = [7,6,4,3,1]
Output: 0
Explanation: In this case, no transactions are done and the max profit = 0.
Constraints:
1 <= prices.length <= 10^5
0 <= prices[i] <= 10^4",Easy,"Array, Dynamic Programming","Test Case 1:
Input: prices = [7,1,5,3,6,4]
Output: 5
Explanation: Buy on day 2 (price = 1) and sell on day 5 (price = 6), profit = 6-1 = 5.
Note that buying on day 2 and selling on day 1 is not allowed because you must buy before you sell.

Test Case 2:
Input: prices = [7,6,4,3,1]
Output: 0
Explanation: In this case, no transactions are done and the max profit = 0.","6
7 1 5 3 6 4

5
7 6 4 3 1","5
0","class Solution:
    def maxProfit(self, prices: List[int]) -> int:
        ","class Solution {
public:
    int maxProfit(vector<int>& prices) {
        
    }
};","class Solution {
    public int maxProfit(int[] prices) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_prices = int(data[line_idx])
    line_idx += 1
    prices = list(map(int, data[line_idx].split()))
    line_idx += 1

    sol = Solution()
    ans = sol.maxProfit(prices)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n_prices;
    if (!(cin >> n_prices)) return 0;
    vector<int> prices(n_prices);
    for (int i = 0; i < n_prices; ++i) cin >> prices[i];

    Solution sol;
    auto ans = sol.maxProfit(prices);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_prices = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] prices = new int[n_prices];
        for (int i = 0; i < n_prices; i++) {
            prices[i] = Integer.parseInt(st.nextToken());
        }

        Solution sol = new Solution();
        var ans = sol.maxProfit(prices);
        System.out.print(ans);
        System.out.println();
    }
}"
69,Best Time to Buy and Sell Stock II,"You are given an integer array prices where prices[i] is the price of a given stock on the i th day.
On each day, you may decide to buy and/or sell the stock. You can only hold at most one share of the stock at any time. However, you can buy it then immediately sell it on the same day.
Find and return the maximum profit you can achieve.
Example 1:
Input: prices = [7,1,5,3,6,4]
Output: 7
Explanation: Buy on day 2 (price = 1) and sell on day 3 (price = 5), profit = 5-1 = 4. Then buy on day 4 (price = 3) and sell on day 5 (price = 6), profit = 6-3 = 3. Total profit is 4 + 3 = 7.
Example 2:
Input: prices = [1,2,3,4,5]
Output: 4
Explanation: Buy on day 1 (price = 1) and sell on day 5 (price = 5), profit = 5-1 = 4. Total profit is 4.
Example 3:
Input: prices = [7,6,4,3,1]
Output: 0
Explanation: There is no way to make a positive profit, so we never buy the stock to achieve the maximum profit of 0.
Constraints:
1 <= prices.length <= 3 * 10^4
0 <= prices[i] <= 10^4",Medium,"Array, Dynamic Programming, Greedy","Test Case 1:
Input: prices = [7,1,5,3,6,4]
Output: 7
Explanation: Buy on day 2 (price = 1) and sell on day 3 (price = 5), profit = 5-1 = 4.
Then buy on day 4 (price = 3) and sell on day 5 (price = 6), profit = 6-3 = 3.
Total profit is 4 + 3 = 7.

Test Case 2:
Input: prices = [1,2,3,4,5]
Output: 4
Explanation: Buy on day 1 (price = 1) and sell on day 5 (price = 5), profit = 5-1 = 4.
Total profit is 4.

Test Case 3:
Input: prices = [7,6,4,3,1]
Output: 0
Explanation: There is no way to make a positive profit, so we never buy the stock to achieve the maximum profit of 0.","6
7 1 5 3 6 4

5
1 2 3 4 5

5
7 6 4 3 1","7
4
0","class Solution:
    def maxProfit(self, prices: List[int]) -> int:
        ","class Solution {
public:
    int maxProfit(vector<int>& prices) {
        
    }
};","class Solution {
    public int maxProfit(int[] prices) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_prices = int(data[line_idx])
    line_idx += 1
    prices = list(map(int, data[line_idx].split()))
    line_idx += 1

    sol = Solution()
    ans = sol.maxProfit(prices)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n_prices;
    if (!(cin >> n_prices)) return 0;
    vector<int> prices(n_prices);
    for (int i = 0; i < n_prices; ++i) cin >> prices[i];

    Solution sol;
    auto ans = sol.maxProfit(prices);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_prices = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] prices = new int[n_prices];
        for (int i = 0; i < n_prices; i++) {
            prices[i] = Integer.parseInt(st.nextToken());
        }

        Solution sol = new Solution();
        var ans = sol.maxProfit(prices);
        System.out.print(ans);
        System.out.println();
    }
}"
70,Best Time to Buy and Sell Stock III,"You are given an array prices where prices[i] is the price of a given stock on the i th day.
Find the maximum profit you can achieve. You may complete at most two transactions.
Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again).
Example 1:
Input: prices = [3,3,5,0,0,3,1,4]
Output: 6
Explanation: Buy on day 4 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3. Then buy on day 7 (price = 1) and sell on day 8 (price = 4), profit = 4-1 = 3.
Example 2:
Input: prices = [1,2,3,4,5]
Output: 4
Explanation: Buy on day 1 (price = 1) and sell on day 5 (price = 5), profit = 5-1 = 4. Note that you cannot buy on day 1, buy on day 2 and sell them later, as you are engaging multiple transactions at the same time. You must sell before buying again.
Example 3:
Input: prices = [7,6,4,3,1]
Output: 0
Explanation: In this case, no transaction is done, i.e. max profit = 0.
Constraints:
1 <= prices.length <= 10^5
0 <= prices[i] <= 10^5",Hard,"Array, Dynamic Programming","Test Case 1:
Input: prices = [3,3,5,0,0,3,1,4]
Output: 6
Explanation: Buy on day 4 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.
Then buy on day 7 (price = 1) and sell on day 8 (price = 4), profit = 4-1 = 3.

Test Case 2:
Input: prices = [1,2,3,4,5]
Output: 4
Explanation: Buy on day 1 (price = 1) and sell on day 5 (price = 5), profit = 5-1 = 4.
Note that you cannot buy on day 1, buy on day 2 and sell them later, as you are engaging multiple transactions at the same time. You must sell before buying again.

Test Case 3:
Input: prices = [7,6,4,3,1]
Output: 0
Explanation: In this case, no transaction is done, i.e. max profit = 0.","8
3 3 5 0 0 3 1 4

5
1 2 3 4 5

5
7 6 4 3 1","6
4
0","class Solution:
    def maxProfit(self, prices: List[int]) -> int:
        ","class Solution {
public:
    int maxProfit(vector<int>& prices) {
        
    }
};","class Solution {
    public int maxProfit(int[] prices) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_prices = int(data[line_idx])
    line_idx += 1
    prices = list(map(int, data[line_idx].split()))
    line_idx += 1

    sol = Solution()
    ans = sol.maxProfit(prices)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n_prices;
    if (!(cin >> n_prices)) return 0;
    vector<int> prices(n_prices);
    for (int i = 0; i < n_prices; ++i) cin >> prices[i];

    Solution sol;
    auto ans = sol.maxProfit(prices);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_prices = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] prices = new int[n_prices];
        for (int i = 0; i < n_prices; i++) {
            prices[i] = Integer.parseInt(st.nextToken());
        }

        Solution sol = new Solution();
        var ans = sol.maxProfit(prices);
        System.out.print(ans);
        System.out.println();
    }
}"
71,Valid Palindrome,"A phrase is a palindrome if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward. Alphanumeric characters include letters and numbers.
Given a string s, return true if it is a palindrome, or false otherwise.
Example 1:
Input: s = ""A man, a plan, a canal: Panama""
Output: true
Explanation: ""amanaplanacanalpanama"" is a palindrome.
Example 2:
Input: s = ""race a car""
Output: false
Explanation: ""raceacar"" is not a palindrome.
Example 3:
Input: s = "" ""
Output: true
Explanation: s is an empty string """" after removing non-alphanumeric characters. Since an empty string reads the same forward and backward, it is a palindrome.
Constraints:
1 <= s.length <= 2 * 10^5
s consists only of printable ASCII characters.",Easy,"Two Pointers, String","Test Case 1:
Input: s = ""A man, a plan, a canal: Panama""
Output: true
Explanation: ""amanaplanacanalpanama"" is a palindrome.

Test Case 2:
Input: s = ""race a car""
Output: false
Explanation: ""raceacar"" is not a palindrome.

Test Case 3:
Input: s = "" ""
Output: true
Explanation: s is an empty string """" after removing non-alphanumeric characters.
Since an empty string reads the same forward and backward, it is a palindrome.","A man, a plan, a canal: Panama

race a car

","true
false
true","class Solution:
    def isPalindrome(self, s: str) -> bool:
        ","class Solution {
public:
    bool isPalindrome(string s) {
        
    }
};","class Solution {
    public boolean isPalindrome(String s) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    s = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.isPalindrome(s)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    string s;
    if (!(cin >> s)) return 0;

    Solution sol;
    bool ans = sol.isPalindrome(s);
    cout << (ans ? ""true"" : ""false"");
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String s = br.readLine();

        Solution sol = new Solution();
        boolean ans = sol.isPalindrome(s);
        System.out.print(ans ? ""true"" : ""false"");
        System.out.println();
    }
}"
72,Word Ladder II,"A transformation sequence from word beginWord to word endWord using a dictionary wordList is a sequence of words beginWord -> s[1] -> s[2] ->... -> s[k] such that:
Every adjacent pair of words differs by a single letter.
Every s[i] for 1 <= i <= k is in wordList. Note that beginWord does not need to be in wordList.
s[k] == endWord
Given two words, beginWord and endWord, and a dictionary wordList, return all the shortest transformation sequences from beginWord to endWord, or an empty list if no such sequence exists. Each sequence should be returned as a list of the words [beginWord, s[1], s[2],..., s[k] ].
Example 1:
Input: beginWord = ""hit"", endWord = ""cog"", wordList = [""hot"",""dot"",""dog"",""lot"",""log"",""cog""]
Output: [[""hit"",""hot"",""dot"",""dog"",""cog""],[""hit"",""hot"",""lot"",""log"",""cog""]]
Explanation: There are 2 shortest transformation sequences: ""hit"" -> ""hot"" -> ""dot"" -> ""dog"" -> ""cog"" ""hit"" -> ""hot"" -> ""lot"" -> ""log"" -> ""cog""
Example 2:
Input: beginWord = ""hit"", endWord = ""cog"", wordList = [""hot"",""dot"",""dog"",""lot"",""log""]
Output: []
Explanation: The endWord ""cog"" is not in wordList, therefore there is no valid transformation sequence.
Constraints:
1 <= beginWord.length <= 5
endWord.length == beginWord.length
1 <= wordList.length <= 500
wordList[i].length == beginWord.length
beginWord, endWord, and wordList[i] consist of lowercase English letters.
beginWord != endWord
All the words in wordList are unique.
The sum of all shortest transformation sequences does not exceed 10^5.",Hard,"Hash Table, String, Backtracking, Breadth-First Search","Test Case 1:
Input: beginWord = ""hit"", endWord = ""cog"", wordList = [""hot"",""dot"",""dog"",""lot"",""log"",""cog""]
Output: [[""hit"",""hot"",""dot"",""dog"",""cog""],[""hit"",""hot"",""lot"",""log"",""cog""]]
Explanation: There are 2 shortest transformation sequences:
""hit"" -> ""hot"" -> ""dot"" -> ""dog"" -> ""cog""
""hit"" -> ""hot"" -> ""lot"" -> ""log"" -> ""cog""

Test Case 2:
Input: beginWord = ""hit"", endWord = ""cog"", wordList = [""hot"",""dot"",""dog"",""lot"",""log""]
Output: []
Explanation: The endWord ""cog"" is not in wordList, therefore there is no valid transformation sequence.","hit
cog
[""hot"",""dot"",""dog"",""lot"",""log"",""cog""]

hit
cog
[""hot"",""dot"",""dog"",""lot"",""log""]","[[""hit"",""hot"",""dot"",""dog"",""cog""],[""hit"",""hot"",""lot"",""log"",""cog""]]
[]","class Solution:
    def findLadders(self, beginWord: str, endWord: str, wordList: List[str]) -> List[List[str]]:
        ","class Solution {
public:
    vector<vector<string>> findLadders(string beginWord, string endWord, vector<string>& wordList) {
        
    }
};","class Solution {
    public List<List<String>> findLadders(String beginWord, String endWord, List<String> wordList) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    beginWord = data[line_idx]
    line_idx += 1
    endWord = data[line_idx]
    line_idx += 1
    wordList = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.findLadders(beginWord, endWord, wordList)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    string beginWord;
    if (!(cin >> beginWord)) return 0;
    string endWord;
    if (!(cin >> endWord)) return 0;
    string wordList;
    if (!(cin >> wordList)) return 0;

    Solution sol;
    string ans = sol.findLadders(beginWord, endWord, wordList);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String beginWord = br.readLine();
        String endWord = br.readLine();
        String wordList = br.readLine();

        Solution sol = new Solution();
        String ans = sol.findLadders(beginWord, endWord, wordList);
        System.out.print(ans);
        System.out.println();
    }
}"
73,Word Ladder,"A transformation sequence from word beginWord to word endWord using a dictionary wordList is a sequence of words beginWord -> s[1] -> s[2] ->... -> s[k] such that:
Every adjacent pair of words differs by a single letter.
Every s i for 1 <= i <= k is in wordList. Note that beginWord does not need to be in wordList.
s[k] == endWord
Given two words, beginWord and endWord, and a dictionary wordList, return the number of words in the shortest transformation sequence from beginWord to endWord, or 0 if no such sequence exists.
Example 1:
Input: beginWord = ""hit"", endWord = ""cog"", wordList = [""hot"",""dot"",""dog"",""lot"",""log"",""cog""]
Output: 5
Explanation: One shortest transformation sequence is ""hit"" -> ""hot"" -> ""dot"" -> ""dog"" -> cog"", which is 5 words long.
Example 2:
Input: beginWord = ""hit"", endWord = ""cog"", wordList = [""hot"",""dot"",""dog"",""lot"",""log""]
Output: 0
Explanation: The endWord ""cog"" is not in wordList, therefore there is no valid transformation sequence.
Constraints:
1 <= beginWord.length <= 10
endWord.length == beginWord.length
1 <= wordList.length <= 5000
wordList[i].length == beginWord.length
beginWord, endWord, and wordList[i] consist of lowercase English letters.
beginWord != endWord
All the words in wordList are unique.",Hard,"Hash Table, String, Breadth-First Search","Test Case 1:
Input: beginWord = ""hit"", endWord = ""cog"", wordList = [""hot"",""dot"",""dog"",""lot"",""log"",""cog""]
Output: 5
Explanation: One shortest transformation sequence is ""hit"" -> ""hot"" -> ""dot"" -> ""dog"" -> cog"", which is 5 words long.

Test Case 2:
Input: beginWord = ""hit"", endWord = ""cog"", wordList = [""hot"",""dot"",""dog"",""lot"",""log""]
Output: 0
Explanation: The endWord ""cog"" is not in wordList, therefore there is no valid transformation sequence.","hit
cog
[""hot"",""dot"",""dog"",""lot"",""log"",""cog""]

hit
cog
[""hot"",""dot"",""dog"",""lot"",""log""]","5
0","class Solution:
    def ladderLength(self, beginWord: str, endWord: str, wordList: List[str]) -> int:
        ","class Solution {
public:
    int ladderLength(string beginWord, string endWord, vector<string>& wordList) {
        
    }
};","class Solution {
    public int ladderLength(String beginWord, String endWord, List<String> wordList) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    beginWord = data[line_idx]
    line_idx += 1
    endWord = data[line_idx]
    line_idx += 1
    wordList = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.ladderLength(beginWord, endWord, wordList)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    string beginWord;
    if (!(cin >> beginWord)) return 0;
    string endWord;
    if (!(cin >> endWord)) return 0;
    string wordList;
    if (!(cin >> wordList)) return 0;

    Solution sol;
    auto ans = sol.ladderLength(beginWord, endWord, wordList);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String beginWord = br.readLine();
        String endWord = br.readLine();
        String wordList = br.readLine();

        Solution sol = new Solution();
        var ans = sol.ladderLength(beginWord, endWord, wordList);
        System.out.print(ans);
        System.out.println();
    }
}"
74,Longest Consecutive Sequence,"Given an unsorted array of integers nums, return the length of the longest consecutive elements sequence.
You must write an algorithm that runs in O(n) time.
Example 1:
Input: nums = [100,4,200,1,3,2]
Output: 4
Explanation: The longest consecutive elements sequence is [1, 2, 3, 4]. Therefore its length is 4.
Example 2:
Input: nums = [0,3,7,2,5,8,4,6,0,1]
Output: 9
Example 3:
Input: nums = [1,0,1,2]
Output: 3
Constraints:
0 <= nums.length <= 10^5
-10^9 <= nums[i] <= 10^9",Medium,"Array, Hash Table, Union Find","Test Case 1:
Input: nums = [100,4,200,1,3,2]
Output: 4
Explanation: The longest consecutive elements sequence is [1, 2, 3, 4]. Therefore its length is 4.

Test Case 2:
Input: nums = [0,3,7,2,5,8,4,6,0,1]
Output: 9

Test Case 3:
Input: nums = [1,0,1,2]
Output: 3","6
100 4 200 1 3 2

10
0 3 7 2 5 8 4 6 0 1

4
1 0 1 2","4
9
3","class Solution:
    def longestConsecutive(self, nums: List[int]) -> int:
        ","class Solution {
public:
    int longestConsecutive(vector<int>& nums) {
        
    }
};","class Solution {
    public int longestConsecutive(int[] nums) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_nums = int(data[line_idx])
    line_idx += 1
    nums = list(map(int, data[line_idx].split()))
    line_idx += 1

    sol = Solution()
    ans = sol.longestConsecutive(nums)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n_nums;
    if (!(cin >> n_nums)) return 0;
    vector<int> nums(n_nums);
    for (int i = 0; i < n_nums; ++i) cin >> nums[i];

    Solution sol;
    auto ans = sol.longestConsecutive(nums);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_nums = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] nums = new int[n_nums];
        for (int i = 0; i < n_nums; i++) {
            nums[i] = Integer.parseInt(st.nextToken());
        }

        Solution sol = new Solution();
        var ans = sol.longestConsecutive(nums);
        System.out.print(ans);
        System.out.println();
    }
}"
75,Palindrome Partitioning,"Given a string s, partition s such that every substring of the partition is a palindrome. Return all possible palindrome partitioning of s.
Example 1:
Input: s = ""aab""
Output: [[""a"",""a"",""b""],[""aa"",""b""]]
Example 2:
Input: s = ""a""
Output: [[""a""]]
Constraints:
1 <= s.length <= 16
s contains only lowercase English letters.",Medium,"String, Dynamic Programming, Backtracking","Test Case 1:
Input: s = ""aab""
Output: [[""a"",""a"",""b""],[""aa"",""b""]]

Test Case 2:
Input: s = ""a""
Output: [[""a""]]","aab

a","[[""a"",""a"",""b""],[""aa"",""b""]]
[[""a""]]","class Solution:
    def partition(self, s: str) -> List[List[str]]:
        ","class Solution {
public:
    vector<vector<string>> partition(string s) {
        
    }
};","class Solution {
    public List<List<String>> partition(String s) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    s = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.partition(s)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n;
    if (!(cin >> n)) return 0;

    Solution sol;
    vector<vector<string>> ans = sol.partition(n);

    cout << '[';
    for (size_t i = 0; i < ans.size(); ++i) {
        cout << '[';
        for (size_t j = 0; j < ans[i].size(); ++j) {
            cout << '""' << ans[i][j] << '""' << (j + 1 == ans[i].size() ? ']' : ',');
        }
        cout << (i + 1 == ans.size() ? ']' : ',');
    }
    cout << '
';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String s = br.readLine();

        Solution sol = new Solution();
        String ans = sol.partition(s);
        System.out.print(ans);
        System.out.println();
    }
}"
